title,BA_1,BA_2,CB_1,CB_2,AC_1,AC_2,Y
no_act/input_noactivity_2(131),2.15,1.94,6.755,6.131,6.695,6.114,0
no_act/input_noactivity_2(132),2.027,1.806,7.344,6.109,7.225,6.054,0
no_act/input_noactivity_2(133),1.983,1.853,6.984,5.995,6.798,5.885,0
no_act/input_noactivity_2(134),2.087,1.964,6.785,6.396,6.679,6.369,0
no_act/input_noactivity_2(135),2.019,1.917,7.048,5.858,7.0,5.901,0
no_act/input_noactivity_2(136),2.029,1.895,6.874,6.161,7.01,6.126,0
no_act/input_noactivity_2(137),2.086,1.988,7.493,5.896,7.45,6.019,0
no_act/input_noactivity_2(138),2.135,2.021,7.507,5.877,7.472,5.735,0
no_act/input_noactivity_2(139),2.132,1.853,7.337,6.436,7.153,6.351,0
no_act/input_noactivity_2(140),2.012,1.704,7.321,5.892,7.245,5.751,0
no_act/input_noactivity_2(141),1.898,1.765,7.208,6.007,7.045,6.091,0
no_act/input_noactivity_2(142),1.901,1.792,7.582,6.145,7.631,6.128,0
no_act/input_noactivity_2(143),2.049,1.938,7.055,6.593,6.923,6.465,0
no_act/input_noactivity_2(144),2.166,2.038,7.093,6.372,6.91,6.463,0
no_act/input_noactivity_2(145),2.164,1.933,6.853,6.265,6.694,6.315,0
no_act/input_noactivity_2(146),2.151,1.961,6.923,6.155,6.694,6.144,0
no_act/input_noactivity_2(147),2.113,1.832,6.752,6.1,6.72,6.035,0
no_act/input_noactivity_2(148),2.163,1.942,6.781,6.391,6.692,6.436,0
no_act/input_noactivity_2(149),2.337,2.056,6.95,6.596,7.053,6.377,0
no_act/input_noactivity_2(150),2.218,1.955,6.403,6.167,6.553,5.973,0
no_act/input_noactivity_2(151),2.123,1.839,6.5,5.857,6.603,5.771,0
no_act/input_noactivity_2(152),2.032,1.805,6.624,6.396,6.651,6.357,0
no_act/input_noactivity_2(153),2.0,1.758,6.883,6.564,6.924,6.53,0
no_act/input_noactivity_2(154),1.984,1.832,6.882,6.195,6.961,6.248,0
no_act/input_noactivity_2(155),2.073,1.941,6.966,5.978,7.048,6.012,0
no_act/input_noactivity_2(156),2.07,2.008,6.589,6.173,6.507,6.317,0
no_act/input_noactivity_2(157),2.031,1.83,6.417,6.077,6.572,5.845,0
no_act/input_noactivity_2(158),2.067,1.898,6.582,6.313,6.623,6.169,0
no_act/input_noactivity_2(159),2.091,1.968,6.952,6.35,6.831,6.476,0
no_act/input_noactivity_2(160),2.114,1.901,7.495,6.12,7.476,6.215,0
no_act/input_noactivity_2(161),2.085,1.782,7.487,5.79,7.367,5.949,0
no_act/input_noactivity_2(162),1.989,1.705,6.808,5.899,6.661,6.052,0
no_act/input_noactivity_2(163),2.014,1.755,6.873,5.692,6.791,5.777,0
no_act/input_noactivity_2(164),1.843,1.784,6.818,5.992,6.777,6.023,0
no_act/input_noactivity_2(165),2.186,1.819,6.691,6.119,6.628,6.127,0
no_act/input_noactivity_2(166),2.212,1.914,6.945,6.301,6.826,6.219,0
no_act/input_noactivity_2(167),2.062,1.962,6.917,6.286,6.825,6.141,0
no_act/input_noactivity_2(168),2.116,1.926,6.798,6.597,6.948,6.399,0
no_act/input_noactivity_2(169),2.008,1.962,7.071,6.628,7.227,6.581,0
no_act/input_noactivity_2(170),2.228,1.943,7.221,6.181,7.212,6.244,0
no_act/input_noactivity_2(171),2.355,2.038,6.973,6.224,6.921,6.381,0
no_act/input_noactivity_2(172),2.101,1.94,6.915,6.06,6.903,6.254,0
no_act/input_noactivity_2(173),1.948,1.78,7.231,5.782,7.22,5.898,0
no_act/input_noactivity_2(174),1.823,1.748,7.042,5.987,7.009,6.118,0
no_act/input_noactivity_2(175),1.898,1.671,6.848,6.184,6.786,6.161,0
no_act/input_noactivity_1(0),2.085,1.907,6.997,6.36,6.88,6.6,0
no_act/input_noactivity_1(1),2.153,1.948,6.75,6.199,6.645,6.415,0
no_act/input_noactivity_1(2),2.007,1.794,6.738,6.135,6.947,5.933,0
no_act/input_noactivity_1(3),1.948,1.827,6.916,6.583,7.062,6.499,0
no_act/input_noactivity_1(4),2.047,1.996,7.014,6.229,7.127,6.044,0
no_act/input_noactivity_1(5),2.072,1.926,7.007,6.207,6.969,6.069,0
no_act/input_noactivity_1(6),2.155,1.921,7.219,6.134,7.068,6.134,0
