title,A_1,A_2,A_3,A_4,A_5,Y
no_act/19A_noactivity_7(96),-0.979,-0.831,-0.801,-0.837,-0.808,0
no_act/19A_noactivity_7(97),-0.979,-0.831,-0.791,-0.841,-0.808,0
no_act/19A_noactivity_7(98),-0.981,-0.82,-0.848,-0.794,-0.803,0
no_act/19A_noactivity_7(99),-0.981,-0.848,-0.863,-0.829,-0.785,0
no_act/19A_noactivity_7(100),-0.982,-0.827,-0.833,-0.792,-0.855,0
no_act/19A_noactivity_7(101),-0.981,-0.822,-0.818,-0.815,-0.83,0
no_act/19A_noactivity_7(102),-0.98,-0.824,-0.852,-0.846,-0.8,0
no_act/19A_noactivity_7(103),-0.979,-0.812,-0.839,-0.823,-0.808,0
no_act/19A_noactivity_7(104),-0.979,-0.804,-0.859,-0.795,-0.797,0
no_act/19A_noactivity_7(105),-0.976,-0.817,-0.838,-0.807,-0.804,0
no_act/19A_noactivity_7(106),-0.973,-0.817,-0.802,-0.816,-0.831,0
no_act/19A_noactivity_7(107),-0.974,-0.814,-0.853,-0.816,-0.825,0
no_act/19A_noactivity_7(108),-0.974,-0.827,-0.799,-0.852,-0.838,0
no_act/19A_noactivity_7(109),-0.977,-0.814,-0.843,-0.814,-0.819,0
no_act/19A_noactivity_7(110),-0.981,-0.822,-0.807,-0.813,-0.802,0
no_act/19A_noactivity_7(111),-0.984,-0.813,-0.801,-0.774,-0.838,0
no_act/19A_noactivity_7(112),-0.977,-0.812,-0.801,-0.827,-0.794,0
no_act/19A_noactivity_7(113),-0.979,-0.806,-0.847,-0.784,-0.8,0
no_act/19A_noactivity_7(114),-0.977,-0.819,-0.815,-0.82,-0.795,0
no_act/19A_noactivity_7(115),-0.978,-0.799,-0.819,-0.796,-0.837,0
no_act/19A_noactivity_7(116),-0.978,-0.829,-0.8,-0.874,-0.794,0
no_act/19A_noactivity_7(117),-0.98,-0.818,-0.794,-0.771,-0.845,0
no_act/19A_noactivity_7(118),-0.977,-0.805,-0.824,-0.855,-0.784,0
no_act/19A_noactivity_7(119),-0.975,-0.816,-0.762,-0.834,-0.836,0
no_act/19A_noactivity_7(120),-0.975,-0.83,-0.827,-0.839,-0.828,0
no_act/19A_noactivity_7(121),-0.98,-0.82,-0.808,-0.823,-0.822,0
no_act/19A_noactivity_7(122),-0.98,-0.794,-0.85,-0.803,-0.801,0
no_act/19A_noactivity_7(123),-0.98,-0.802,-0.846,-0.81,-0.834,0
no_act/19A_noactivity_7(124),-0.98,-0.823,-0.808,-0.854,-0.811,0
no_act/19A_noactivity_7(125),-0.977,-0.811,-0.84,-0.832,-0.797,0
no_act/19A_noactivity_7(126),-0.975,-0.805,-0.825,-0.814,-0.818,0
no_act/19A_noactivity_7(127),-0.975,-0.831,-0.827,-0.793,-0.804,0
no_act/19A_noactivity_7(128),-0.973,-0.832,-0.807,-0.824,-0.828,0
no_act/19A_noactivity_7(129),-0.981,-0.849,-0.819,-0.823,-0.81,0
no_act/19A_noactivity_7(130),-0.98,-0.813,-0.872,-0.824,-0.768,0
no_act/19A_noactivity_7(131),-0.979,-0.825,-0.804,-0.829,-0.825,0
