title,A_1,A_2,A_3,A_4,A_5,Y
no_act/19A_noactivity_7(118),-0.98,-0.833,-0.787,-0.782,-0.787,0
no_act/19A_noactivity_7(119),-0.981,-0.823,-0.775,-0.809,-0.794,0
no_act/19A_noactivity_7(120),-0.984,-0.837,-0.774,-0.834,-0.81,0
no_act/19A_noactivity_7(121),-0.976,-0.809,-0.835,-0.831,-0.781,0
no_act/19A_noactivity_7(122),-0.983,-0.787,-0.833,-0.767,-0.793,0
no_act/19A_noactivity_7(123),-0.981,-0.804,-0.798,-0.82,-0.807,0
no_act/19A_noactivity_7(124),-0.978,-0.811,-0.825,-0.811,-0.816,0
no_act/19A_noactivity_7(125),-0.974,-0.819,-0.788,-0.81,-0.808,0
no_act/19A_noactivity_7(126),-0.975,-0.82,-0.788,-0.765,-0.834,0
no_act/19A_noactivity_7(127),-0.976,-0.838,-0.829,-0.792,-0.781,0
no_act/19A_noactivity_7(128),-0.964,-0.828,-0.818,-0.818,-0.782,0
no_act/19A_noactivity_7(129),-0.98,-0.832,-0.764,-0.824,-0.754,0
no_act/19A_noactivity_7(130),-0.981,-0.818,-0.777,-0.819,-0.793,0
no_act/19A_noactivity_7(131),-0.981,-0.793,-0.802,-0.788,-0.808,0
no_act/19A_noactivity_7(132),-0.98,-0.805,-0.806,-0.787,-0.799,0
no_act/19A_noactivity_7(133),-0.981,-0.824,-0.81,-0.759,-0.816,0
no_act/19A_noactivity_7(134),-0.981,-0.818,-0.793,-0.785,-0.812,0
no_act/19A_noactivity_7(135),-0.983,-0.817,-0.793,-0.777,-0.779,0
no_act/19A_noactivity_7(136),-0.98,-0.827,-0.812,-0.809,-0.809,0
no_act/19A_noactivity_7(137),-0.978,-0.804,-0.844,-0.795,-0.834,0
no_act/19A_noactivity_7(138),-0.977,-0.817,-0.779,-0.792,-0.81,0
no_act/19A_noactivity_7(139),-0.969,-0.826,-0.782,-0.821,-0.801,0
no_act/19A_noactivity_7(140),-0.977,-0.805,-0.822,-0.778,-0.799,0
no_act/19A_noactivity_7(141),-0.978,-0.833,-0.813,-0.764,-0.816,0
no_act/19A_noactivity_7(142),-0.978,-0.818,-0.829,-0.807,-0.814,0
no_act/19A_noactivity_7(143),-0.981,-0.8,-0.836,-0.77,-0.832,0
no_act/19A_noactivity_7(144),-0.984,-0.806,-0.828,-0.839,-0.778,0
no_act/19A_noactivity_7(145),-0.984,-0.819,-0.761,-0.812,-0.745,0
no_act/19A_noactivity_7(146),-0.984,-0.831,-0.772,-0.798,-0.79,0
no_act/19A_noactivity_7(147),-0.98,-0.84,-0.793,-0.799,-0.796,0
no_act/19A_noactivity_7(148),-0.978,-0.836,-0.799,-0.795,-0.787,0
no_act/19A_noactivity_7(149),-0.969,-0.818,-0.773,-0.801,-0.807,0
no_act/19A_noactivity_7(150),-0.976,-0.818,-0.777,-0.804,-0.79,0
no_act/19A_noactivity_7(151),-0.978,-0.826,-0.774,-0.828,-0.815,0
no_act/19A_noactivity_7(152),-0.98,-0.827,-0.819,-0.821,-0.805,0
no_act/19A_noactivity_7(153),-0.975,-0.819,-0.804,-0.841,-0.794,0
no_act/19A_noactivity_7(154),-0.978,-0.832,-0.808,-0.794,-0.814,0
no_act/19A_noactivity_7(155),-0.979,-0.826,-0.796,-0.813,-0.804,0
no_act/19A_noactivity_7(156),-0.984,-0.818,-0.771,-0.811,-0.764,0
no_act/19A_noactivity_7(157),-0.978,-0.838,-0.806,-0.787,-0.837,0
no_act/19A_noactivity_7(158),-0.978,-0.821,-0.831,-0.756,-0.792,0
no_act/19A_noactivity_7(159),-0.975,-0.812,-0.799,-0.803,-0.821,0
no_act/19A_noactivity_7(160),-0.967,-0.831,-0.8,-0.777,-0.823,0
no_act/19A_noactivity_7(161),-0.972,-0.827,-0.796,-0.804,-0.786,0
no_act/19A_noactivity_7(162),-0.977,-0.829,-0.786,-0.804,-0.777,0
no_act/19A_noactivity_7(163),-0.968,-0.842,-0.81,-0.786,-0.775,0
no_act/19A_noactivity_7(164),-0.967,-0.843,-0.791,-0.805,-0.821,0
no_act/19A_noactivity_7(165),-0.981,-0.809,-0.81,-0.801,-0.758,0
no_act/19A_noactivity_7(166),-0.974,-0.803,-0.792,-0.789,-0.788,0
no_act/19A_noactivity_7(167),-0.983,-0.796,-0.787,-0.793,-0.762,0
no_act/19A_noactivity_7(168),-0.98,-0.816,-0.785,-0.804,-0.796,0
no_act/19A_noactivity_7(169),-0.975,-0.829,-0.801,-0.8,-0.789,0
no_act/19A_noactivity_7(170),-0.977,-0.825,-0.828,-0.793,-0.792,0
no_act/19A_noactivity_7(171),-0.979,-0.799,-0.811,-0.759,-0.798,0
no_act/19A_noactivity_7(172),-0.966,-0.793,-0.812,-0.78,-0.777,0
no_act/19A_noactivity_7(173),-0.969,-0.821,-0.781,-0.818,-0.788,0
no_act/19A_noactivity_7(174),-0.974,-0.818,-0.792,-0.793,-0.815,0
no_act/19A_noactivity_7(175),-0.977,-0.837,-0.784,-0.764,-0.8,0
no_act/19A_noactivity_3(0),-0.928,-0.801,-0.788,-0.826,-0.805,0
no_act/19A_noactivity_3(1),-0.929,-0.831,-0.775,-0.838,-0.809,0
no_act/19A_noactivity_3(2),-0.895,-0.77,-0.801,-0.815,-0.86,0
no_act/19A_noactivity_3(3),-0.928,-0.795,-0.771,-0.825,-0.797,0
no_act/19A_noactivity_3(4),-0.916,-0.803,-0.779,-0.789,-0.817,0
no_act/19A_noactivity_3(5),-0.911,-0.781,-0.771,-0.791,-0.813,0
no_act/19A_noactivity_3(6),-0.878,-0.76,-0.792,-0.834,-0.828,0
no_act/19A_noactivity_3(7),-0.778,-0.865,-0.81,-0.837,-0.785,0
no_act/19A_noactivity_3(8),-0.817,-0.822,-0.831,-0.823,-0.805,0
no_act/19A_noactivity_3(9),-0.887,-0.783,-0.814,-0.796,-0.803,0
no_act/19A_noactivity_3(10),-0.988,-0.926,-0.832,-0.845,-0.863,0
no_act/19A_noactivity_3(11),-0.947,-0.848,-0.809,-0.799,-0.818,0
no_act/19A_noactivity_3(12),-0.939,-0.83,-0.792,-0.797,-0.784,0
no_act/19A_noactivity_3(13),-0.897,-0.796,-0.801,-0.784,-0.767,0
no_act/19A_noactivity_3(14),-0.924,-0.783,-0.787,-0.783,-0.803,0
no_act/19A_noactivity_3(15),-0.902,-0.807,-0.774,-0.788,-0.811,0
no_act/19A_noactivity_3(16),-0.878,-0.799,-0.766,-0.789,-0.805,0
no_act/19A_noactivity_3(17),-0.922,-0.783,-0.799,-0.791,-0.828,0
no_act/19A_noactivity_3(18),-0.898,-0.792,-0.82,-0.806,-0.788,0
no_act/19A_noactivity_3(19),-0.904,-0.782,-0.78,-0.85,-0.797,0
no_act/19A_noactivity_3(20),-0.927,-0.82,-0.76,-0.832,-0.819,0
no_act/19A_noactivity_3(21),-0.987,-0.918,-0.888,-0.856,-0.858,0
