title,BA_1,BA_2,CB_1,CB_2,AC_1,AC_2,Y
no_act/19A_noactivity_7(132),10.793,9.829,2.382,2.162,10.232,9.246,0
no_act/19A_noactivity_7(133),11.176,9.508,2.374,2.084,10.392,9.035,0
no_act/19A_noactivity_7(134),11.177,9.433,2.247,2.075,10.421,9.03,0
no_act/19A_noactivity_7(135),11.211,9.509,2.332,2.124,10.561,8.938,0
no_act/19A_noactivity_7(136),11.315,9.449,2.349,2.108,10.634,8.93,0
no_act/19A_noactivity_7(137),10.472,10.02,2.255,2.085,10.077,9.396,0
no_act/19A_noactivity_7(138),10.549,9.615,2.344,2.139,9.755,9.272,0
no_act/19A_noactivity_7(139),10.51,9.783,2.274,2.187,9.757,9.289,0
no_act/19A_noactivity_7(140),11.14,9.319,2.173,2.067,10.428,8.855,0
no_act/19A_noactivity_7(141),10.76,9.59,2.184,2.075,10.054,9.17,0
no_act/19A_noactivity_7(142),10.435,10.196,2.266,2.023,9.893,9.583,0
no_act/19A_noactivity_7(143),10.86,9.645,2.308,2.061,9.983,9.411,0
no_act/19A_noactivity_7(144),11.13,9.215,2.194,1.937,10.37,8.882,0
no_act/19A_noactivity_7(145),10.954,9.299,2.262,1.908,10.223,9.048,0
no_act/19A_noactivity_7(146),10.836,9.63,2.34,2.086,10.149,9.339,0
no_act/19A_noactivity_7(147),10.933,9.593,2.439,2.209,10.237,9.101,0
no_act/19A_noactivity_7(148),10.944,9.41,2.446,2.143,10.253,8.911,0
no_act/19A_noactivity_7(149),11.292,9.244,2.405,2.129,10.398,8.954,0
no_act/19A_noactivity_7(150),10.71,9.369,2.325,2.202,10.104,8.955,0
no_act/19A_noactivity_7(151),10.282,9.503,2.196,2.092,9.569,9.119,0
no_act/19A_noactivity_7(152),10.848,8.986,2.279,2.017,10.051,8.526,0
no_act/19A_noactivity_7(153),10.141,9.969,2.201,2.092,9.492,9.428,0
no_act/19A_noactivity_7(154),11.3,9.491,2.227,2.122,10.64,9.066,0
no_act/19A_noactivity_7(155),11.164,9.362,2.313,2.154,10.519,8.932,0
no_act/19A_noactivity_7(156),10.807,9.967,2.406,2.089,10.37,9.191,0
no_act/19A_noactivity_7(157),10.482,10.314,2.479,2.141,9.837,9.584,0
no_act/19A_noactivity_7(158),10.933,9.701,2.339,2.156,10.09,9.229,0
no_act/19A_noactivity_7(159),10.832,9.647,2.214,2.082,10.236,9.061,0
no_act/19A_noactivity_7(160),11.283,9.307,2.197,2.053,10.479,8.863,0
no_act/19A_noactivity_7(161),11.504,9.162,2.233,2.047,10.513,8.867,0
no_act/19A_noactivity_7(162),10.506,9.867,2.269,2.161,9.725,9.376,0
no_act/19A_noactivity_7(163),10.862,9.268,2.255,2.082,10.259,8.69,0
no_act/19A_noactivity_7(164),10.63,9.323,2.257,2.072,10.188,8.692,0
no_act/19A_noactivity_7(165),11.429,9.32,2.348,2.018,10.524,9.004,0
no_act/19A_noactivity_7(166),10.412,9.991,2.314,2.138,9.668,9.478,0
no_act/19A_noactivity_7(167),10.36,9.906,2.264,2.022,9.968,9.209,0
no_act/19A_noactivity_7(168),10.531,9.756,2.372,2.062,9.748,9.395,0
no_act/19A_noactivity_7(169),10.478,9.547,2.453,2.071,10.055,8.806,0
no_act/19A_noactivity_7(170),10.734,9.483,2.214,2.193,10.192,8.843,0
no_act/19A_noactivity_7(171),10.45,9.656,2.194,2.065,9.776,9.052,0
no_act/19A_noactivity_7(172),10.476,9.901,2.307,2.075,9.84,9.296,0
no_act/19A_noactivity_7(173),10.615,9.834,2.397,2.188,9.945,9.341,0
no_act/19A_noactivity_7(174),10.824,9.512,2.466,2.149,10.173,8.959,0
no_act/19A_noactivity_7(175),10.965,9.46,2.343,2.178,10.268,8.962,0
no_act/19A_noactivity_3(0),7.442,6.419,11.813,9.646,6.407,5.841,0
no_act/19A_noactivity_3(1),7.389,6.318,11.665,9.735,6.49,5.95,0
no_act/19A_noactivity_3(2),7.31,6.119,11.105,10.018,6.222,5.869,0
no_act/19A_noactivity_3(3),6.977,6.57,10.964,10.125,6.428,5.568,0
no_act/19A_noactivity_3(4),6.943,6.664,11.391,9.787,6.531,5.749,0
no_act/19A_noactivity_3(5),7.025,6.448,10.879,10.109,6.329,5.804,0
no_act/19A_noactivity_3(6),7.045,6.479,10.633,10.556,6.36,5.77,0
no_act/19A_noactivity_3(7),7.345,6.213,11.525,9.807,6.209,6.168,0
no_act/19A_noactivity_3(8),7.251,6.174,11.272,9.79,6.139,6.027,0
no_act/19A_noactivity_3(9),7.032,6.416,10.869,10.21,6.191,6.036,0
no_act/19A_noactivity_3(10),6.376,5.873,9.204,8.333,5.15,5.079,0
no_act/19A_noactivity_3(11),6.97,6.323,11.445,9.843,6.443,5.944,0
no_act/19A_noactivity_3(12),7.056,6.179,11.637,9.516,6.494,5.784,0
no_act/19A_noactivity_3(13),6.857,6.258,11.069,9.949,6.349,5.75,0
no_act/19A_noactivity_3(14),6.797,6.467,10.926,10.065,6.294,5.724,0
no_act/19A_noactivity_3(15),6.632,6.437,11.14,9.672,6.378,5.498,0
no_act/19A_noactivity_3(16),6.598,6.3,10.746,9.879,6.425,5.427,0
no_act/19A_noactivity_3(17),7.155,6.178,10.904,10.038,6.256,5.597,0
no_act/19A_noactivity_3(18),7.152,6.303,10.726,10.238,6.189,5.58,0
no_act/19A_noactivity_3(19),6.847,6.413,11.347,9.551,6.526,5.544,0
no_act/19A_noactivity_3(20),6.741,6.577,11.312,9.567,6.465,5.6,0
no_act/19A_noactivity_3(21),6.454,6.3,9.042,8.202,5.269,4.599,0
no_act/19A_noactivity_3(22),6.768,6.564,11.689,9.618,6.766,5.486,0
no_act/19A_noactivity_3(23),6.695,6.542,11.331,9.971,6.804,5.769,0
no_act/19A_noactivity_3(24),7.005,6.263,11.037,10.074,6.362,5.875,0
no_act/19A_noactivity_3(25),7.298,6.344,11.308,9.924,6.128,6.035,0
no_act/19A_noactivity_3(26),7.005,6.358,11.204,9.915,6.279,5.773,0
no_act/19A_noactivity_3(27),6.766,6.386,11.403,9.625,6.421,5.484,0
no_act/19A_noactivity_3(28),7.154,6.368,10.978,10.114,6.124,5.948,0
no_act/19A_noactivity_3(29),7.154,6.432,10.961,10.074,6.101,6.068,0
no_act/19A_noactivity_3(30),7.135,6.251,11.074,9.832,6.259,5.77,0
no_act/19A_noactivity_3(31),7.313,6.2,11.093,10.037,6.331,5.787,0
no_act/19A_noactivity_3(32),6.736,5.691,9.654,7.771,5.3,4.628,0
no_act/19A_noactivity_3(33),6.848,6.37,10.826,10.208,6.472,5.847,0
no_act/19A_noactivity_3(34),6.965,6.402,11.168,9.777,6.442,5.641,0
no_act/19A_noactivity_3(35),6.814,6.474,11.326,9.744,6.46,5.438,0
no_act/19A_noactivity_3(36),6.638,6.497,11.549,9.508,6.601,5.456,0
no_act/19A_noactivity_3(37),6.985,6.482,10.907,10.074,6.177,5.747,0
no_act/19A_noactivity_3(38),7.14,6.315,10.74,10.193,6.135,5.748,0
no_act/19A_noactivity_3(39),7.225,6.299,11.343,9.807,6.405,5.853,0
no_act/19A_noactivity_3(40),7.14,6.396,11.257,9.824,6.21,5.868,0
no_act/19A_noactivity_3(41),6.974,6.35,10.91,10.08,5.995,5.88,0
no_act/19A_noactivity_3(42),6.948,6.432,10.537,10.382,6.152,5.884,0
no_act/19A_noactivity_3(43),6.193,5.874,9.055,7.797,5.267,4.511,0
no_act/19A_noactivity_3(44),6.826,6.676,11.202,10.118,6.502,5.781,0
no_act/19A_noactivity_3(45),6.975,6.611,11.019,10.314,6.482,5.961,0
no_act/19A_noactivity_3(46),7.064,6.472,10.715,10.474,6.347,5.85,0
no_act/19A_noactivity_3(47),6.846,6.542,10.782,10.325,6.374,5.745,0
no_act/19A_noactivity_3(48),6.817,6.598,11.133,9.981,6.358,5.651,0
no_act/19A_noactivity_3(49),6.872,6.398,11.17,9.589,6.104,5.47,0
no_act/19A_noactivity_3(50),7.008,6.446,10.599,10.447,6.242,5.74,0
no_act/19A_noactivity_3(51),7.152,6.468,10.955,10.333,6.318,5.981,0
no_act/19A_noactivity_3(52),6.81,6.577,11.122,9.899,6.338,5.752,0
