FILE,VAR_A,VAR_B,VAR_C,Y
b1e4_1-02,3.67,8.52,0.69,1
b1e4_1-03,3.37,7.06,0.78,1
b1e4_1-04,3.65,7.52,0.99,1
b1e4_1-05,3.54,5.86,0.77,1
b1e4_1-06,3.73,5.6,0.6,1
c1e3_2-01,3.52,2.46,0.57,1
c1e3_2-02,3.98,2.38,0.47,1
c1e3_2-03,3.83,3.08,0.53,1
c1e3_2-04,3.94,2.61,0.51,1
c1e3_2-05,3.57,3.02,0.47,1
c1e3_2-06,3.66,2.52,0.68,1
b6e3_1-01,16.71,13.76,1.44,1
b6e3_1-02,21.06,16.72,1.61,1
b6e3_1-03,25.09,13.1,1.44,1
b6e3_1-04,3.95,5.81,1.01,1
b6e3_1-05,20.21,16.45,1.63,1
b6e3_1-06,22.58,15.35,1.71,1
a6e2_2-01,15.76,15.13,1.17,1
a6e2_2-02,12.1,14.29,1.47,1
a6e2_2-03,4.36,3.29,0.49,1
a6e2_2-04,15.31,14.81,1.1,1
a6e2_2-05,8.18,15.2,1.3,1
a6e2_2-06,3.3,3.16,0.4,1
a1e5_2-01,12.65,35.44,3.36,1
a1e5_2-02,6.67,39.47,5.47,1
a1e5_2-03,7.62,16.93,2.92,1
a1e5_2-04,7.86,14.6,1.94,1
a1e5_2-05,6.9,35.52,5.63,1
a1e5_2-06,5.85,15.22,1.58,1
a2e6_1-01,3.94,12.09,3.4,1
a2e6_1-02,4.39,8.61,0.92,1
a2e6_1-03,3.73,10.05,0.74,1
a2e6_1-04,4.2,13.01,1.63,1
a2e6_1-05,3.85,13.38,0.73,1
a2e6_1-06,4.19,13.52,0.95,1
e3_1-01,1.85,2.51,0.24,1
e3_1-02,1.78,2.35,0.22,1
e3_1-03,1.78,2.26,0.24,1
e3_1-04,1.8,2.35,0.25,1
e3_1-05,1.91,2.27,0.24,1
e3_1-06,5.13,2.55,0.71,1
a1e5_1-01,8.45,16.77,2.99,1
a1e5_1-02,8.57,52.51,7.26,1
a1e5_1-03,10.61,23.12,3.12,1
a1e5_1-04,7.88,19.63,3.54,1
a1e5_1-05,6.79,32.42,4.45,1
a1e5_1-06,13.08,32.72,6.17,1
b4_1-01,3.02,2.54,0.34,1
