title,BA_1,BA_2,CB_1,CB_2,AC_1,AC_2,Y
no_act/csi_noactivity_1(134),8.151,7.626,11.937,10.29,10.341,8.976,0
no_act/csi_noactivity_1(135),8.319,7.586,11.912,10.214,10.296,9.106,0
no_act/csi_noactivity_1(136),8.423,7.504,11.957,10.261,10.086,9.249,0
no_act/csi_noactivity_1(137),8.458,7.37,11.822,10.464,9.758,9.311,0
no_act/csi_noactivity_1(138),8.568,7.315,11.899,10.216,9.77,9.331,0
no_act/csi_noactivity_1(139),8.656,7.171,12.278,9.81,9.835,9.362,0
no_act/csi_noactivity_1(140),8.447,7.348,11.438,10.752,9.942,9.248,0
no_act/csi_noactivity_1(141),8.38,7.447,11.113,11.002,10.206,8.992,0
no_act/csi_noactivity_1(142),8.369,7.526,11.607,10.492,10.088,9.15,0
no_act/csi_noactivity_1(143),8.412,7.448,11.444,10.772,9.975,9.428,0
no_act/csi_noactivity_1(144),8.355,7.568,11.577,10.537,10.51,8.92,0
no_act/csi_noactivity_1(145),8.072,7.827,12.173,9.892,10.624,8.709,0
no_act/csi_noactivity_1(146),8.026,7.826,12.105,9.934,10.498,8.762,0
no_act/csi_noactivity_1(147),8.23,7.726,11.974,10.117,10.35,8.972,0
no_act/csi_noactivity_1(148),8.655,7.426,12.322,9.891,9.993,9.254,0
no_act/csi_noactivity_1(149),8.471,7.387,11.997,10.089,9.831,9.325,0
no_act/csi_noactivity_1(150),8.332,7.448,11.448,10.661,10.339,8.98,0
no_act/csi_noactivity_1(151),8.446,7.368,11.676,10.554,10.31,9.049,0
no_act/csi_noactivity_1(152),8.452,7.461,11.986,10.308,10.14,9.165,0
no_act/csi_noactivity_1(153),8.368,7.435,11.287,10.889,10.292,8.936,0
no_act/csi_noactivity_1(154),8.727,7.501,11.184,10.859,10.45,8.904,0
no_act/csi_noactivity_1(155),8.711,7.294,11.247,10.746,10.51,8.766,0
no_act/csi_noactivity_1(156),8.242,7.338,11.556,10.495,10.51,8.785,0
no_act/csi_noactivity_1(157),8.243,7.508,12.532,9.602,10.569,8.822,0
no_act/csi_noactivity_1(158),8.278,7.565,12.305,9.856,10.423,8.966,0
no_act/csi_noactivity_1(159),8.505,7.294,11.869,10.34,9.874,9.402,0
no_act/csi_noactivity_1(160),8.493,7.416,11.908,10.373,9.831,9.386,0
no_act/csi_noactivity_1(161),8.535,7.376,11.822,10.312,9.688,9.502,0
no_act/csi_noactivity_1(162),8.598,7.415,12.242,10.016,9.788,9.214,0
no_act/csi_noactivity_1(163),8.345,7.487,11.673,10.495,9.945,8.941,0
no_act/csi_noactivity_1(164),8.391,7.342,11.861,10.317,10.05,9.145,0
no_act/csi_noactivity_1(165),8.311,7.451,11.194,10.734,10.093,8.958,0
no_act/csi_noactivity_1(166),8.285,7.439,11.518,10.461,10.379,8.709,0
no_act/csi_noactivity_1(167),8.284,7.678,12.079,10.191,10.163,9.104,0
no_act/csi_noactivity_1(168),8.288,7.552,11.991,10.213,10.104,9.166,0
no_act/csi_noactivity_1(169),8.239,7.543,11.588,10.407,10.483,8.796,0
no_act/csi_noactivity_1(170),8.151,7.583,11.619,10.367,10.462,8.704,0
no_act/csi_noactivity_1(171),8.165,7.62,11.691,10.308,10.083,9.041,0
no_act/csi_noactivity_1(172),8.219,7.606,12.14,9.752,10.15,8.857,0
no_act/csi_noactivity_1(173),8.139,7.65,11.843,10.086,10.31,8.833,0
no_act/csi_noactivity_1(174),8.27,7.594,11.748,10.371,10.591,8.762,0
no_act/csi_noactivity_1(175),8.265,7.63,11.803,10.481,10.804,8.601,0
no_act/csi_noactivity_2(0),8.316,6.904,11.152,10.36,10.316,8.927,0
no_act/csi_noactivity_2(1),8.258,7.09,11.197,10.43,9.966,9.266,0
no_act/csi_noactivity_2(2),8.06,6.972,11.13,10.351,10.03,9.138,0
no_act/csi_noactivity_2(3),8.264,6.718,11.725,9.921,11.025,8.356,0
no_act/csi_noactivity_2(4),8.101,7.307,11.376,10.856,10.68,9.312,0
no_act/csi_noactivity_2(5),8.493,7.115,12.742,9.839,10.538,9.59,0
no_act/csi_noactivity_2(6),8.224,7.421,12.088,10.297,10.634,9.379,0
no_act/csi_noactivity_2(7),7.991,7.355,11.808,10.14,10.976,8.719,0
no_act/csi_noactivity_2(8),7.77,7.38,12.213,9.805,10.929,8.633,0
no_act/csi_noactivity_2(9),8.31,6.886,11.836,10.144,10.095,9.512,0
no_act/csi_noactivity_2(10),8.099,7.137,11.53,10.389,10.239,9.291,0
no_act/csi_noactivity_2(11),8.282,7.077,11.089,10.915,10.632,9.073,0
no_act/csi_noactivity_2(12),8.048,7.361,11.629,10.606,10.735,9.057,0
no_act/csi_noactivity_2(13),8.185,7.305,12.098,10.398,10.333,9.494,0
no_act/csi_noactivity_2(14),8.435,6.967,12.018,10.197,9.854,9.71,0
no_act/csi_noactivity_2(15),8.566,6.786,11.925,10.019,10.131,9.366,0
no_act/csi_noactivity_2(16),8.177,7.05,11.453,10.393,10.161,9.296,0
no_act/csi_noactivity_2(17),8.025,6.969,11.274,10.268,10.795,8.656,0
no_act/csi_noactivity_2(18),8.313,6.956,11.236,10.637,10.482,9.137,0
no_act/csi_noactivity_2(19),8.392,6.979,12.274,9.987,10.003,9.562,0
no_act/csi_noactivity_2(20),8.277,7.121,12.034,10.186,9.933,9.618,0
no_act/csi_noactivity_2(21),8.187,7.243,11.62,10.608,10.318,9.32,0
no_act/csi_noactivity_2(22),8.387,7.139,12.264,9.924,10.236,9.651,0
no_act/csi_noactivity_2(23),8.164,7.225,12.028,10.049,10.381,9.397,0
no_act/csi_noactivity_2(24),7.818,7.515,11.974,10.152,10.688,9.095,0
no_act/csi_noactivity_2(25),8.214,7.393,11.738,10.611,10.248,9.613,0
no_act/csi_noactivity_2(26),8.506,7.057,11.743,10.318,10.231,9.536,0
no_act/csi_noactivity_2(27),8.343,7.029,11.413,10.528,10.276,9.415,0
no_act/csi_noactivity_2(28),8.272,7.026,11.777,10.255,9.985,9.719,0
no_act/csi_noactivity_2(29),8.059,7.355,12.484,9.702,10.73,9.056,0
no_act/csi_noactivity_2(30),8.186,7.297,11.786,10.463,10.49,9.337,0
no_act/csi_noactivity_2(31),8.495,6.936,11.923,10.182,10.069,9.694,0
