,title,A_1,A_2,A_3,A_4,A_5,BA_1,BA_2,CB_1,CB_2,AC_1,AC_2,Y
119,no_act_1(119),-0.9740000000000001,-0.835,-0.777,-0.7609999999999999,-0.846,8.22,7.619,12.847999999999999,9.439,11.18,8.13,0
120,no_act_1(120),-0.9740000000000001,-0.83,-0.773,-0.759,-0.8370000000000001,8.392000000000001,7.397,12.818,9.417,11.225999999999999,8.045,0
121,no_act_1(121),-0.985,-0.8240000000000001,-0.787,-0.762,-0.855,8.441,7.546,11.195,11.015,10.321,9.193,0
122,no_act_1(122),-0.981,-0.8240000000000001,-0.774,-0.789,-0.853,8.128,7.8260000000000005,12.025,10.091000000000001,10.357999999999999,8.993,0
123,no_act_1(123),-0.968,-0.8240000000000001,-0.7709999999999999,-0.779,-0.816,8.116,7.763999999999999,12.074000000000002,9.911,10.302999999999999,8.834,0
124,no_act_1(124),-0.9740000000000001,-0.8290000000000001,-0.767,-0.777,-0.8740000000000001,8.619,7.1370000000000005,12.265,9.76,9.951,9.203,0
125,no_act_1(125),-0.972,-0.825,-0.76,-0.773,-0.823,8.257,7.482,11.477,10.68,9.935,9.166,0
126,no_act_1(126),-0.9740000000000001,-0.826,-0.7609999999999999,-0.773,-0.805,8.267999999999999,7.527,11.322000000000001,10.864,10.087,9.105,0
127,no_act_1(127),-0.977,-0.831,-0.7709999999999999,-0.794,-0.8009999999999999,8.527000000000001,7.314,12.289000000000001,10.014,9.96,9.322000000000001,0
128,no_act_1(128),-0.98,-0.8370000000000001,-0.792,-0.768,-0.812,8.244,7.63,11.787,10.364,10.25,9.013,0
129,no_act_1(129),-0.978,-0.8320000000000001,-0.775,-0.7829999999999999,-0.838,8.51,7.377000000000001,11.667,10.32,10.739,8.454,0
130,no_act_1(130),-0.976,-0.831,-0.773,-0.763,-0.825,8.601,7.261,11.449000000000002,10.548,10.59,8.671,0
131,no_act_1(131),-0.976,-0.833,-0.79,-0.748,-0.8290000000000001,8.539,7.317,11.374,10.81,10.306,9.027000000000001,0
132,no_act_1(132),-0.9840000000000001,-0.8320000000000001,-0.7909999999999999,-0.77,-0.855,8.135,7.75,12.647,9.457,10.876,8.537,0
133,no_act_1(133),-0.978,-0.836,-0.8059999999999999,-0.765,-0.853,8.152000000000001,7.666,12.174000000000001,9.9,10.389000000000001,8.85,0
134,no_act_1(134),-0.955,-0.833,-0.7829999999999999,-0.774,-0.8240000000000001,8.151,7.626,11.937000000000001,10.29,10.341,8.976,0
135,no_act_1(135),-0.968,-0.8270000000000001,-0.77,-0.782,-0.856,8.318999999999999,7.586,11.912,10.214,10.296,9.106,0
136,no_act_1(136),-0.97,-0.828,-0.773,-0.775,-0.851,8.423,7.504,11.957,10.261,10.086,9.249,0
137,no_act_1(137),-0.976,-0.833,-0.7879999999999999,-0.7809999999999999,-0.826,8.458,7.37,11.822000000000001,10.464,9.758,9.311,0
138,no_act_1(138),-0.98,-0.833,-0.775,-0.76,-0.851,8.568,7.315,11.899000000000001,10.216000000000001,9.77,9.331,0
139,no_act_1(139),-0.9740000000000001,-0.828,-0.768,-0.7659999999999999,-0.812,8.656,7.171,12.277999999999999,9.81,9.835,9.362,0
140,no_act_1(140),-0.9670000000000001,-0.83,-0.77,-0.785,-0.818,8.447000000000001,7.348,11.437999999999999,10.752,9.942,9.248,0
141,no_act_1(141),-0.9690000000000001,-0.833,-0.777,-0.7859999999999999,-0.8540000000000001,8.38,7.447,11.113,11.002,10.206,8.992,0
142,no_act_1(142),-0.9740000000000001,-0.833,-0.782,-0.77,-0.8079999999999999,8.369,7.526,11.607000000000001,10.492,10.088,9.15,0
143,no_act_1(143),-0.986,-0.836,-0.784,-0.7659999999999999,-0.818,8.412,7.4479999999999995,11.444,10.772,9.975,9.427999999999999,0
144,no_act_1(144),-0.978,-0.833,-0.777,-0.769,-0.8190000000000001,8.355,7.568,11.577,10.537,10.51,8.92,0
145,no_act_1(145),-0.927,-0.8370000000000001,-0.775,-0.779,-0.847,8.072000000000001,7.827000000000001,12.173,9.892000000000001,10.624,8.709,0
146,no_act_1(146),-0.9690000000000001,-0.821,-0.8109999999999999,-0.7709999999999999,-0.868,8.026,7.8260000000000005,12.105,9.934,10.498,8.762,0
147,no_act_1(147),-0.971,-0.825,-0.821,-0.765,-0.809,8.23,7.726,11.974,10.117,10.35,8.972000000000001,0
148,no_act_1(148),-0.9790000000000001,-0.828,-0.816,-0.7609999999999999,-0.868,8.655,7.426,12.322000000000001,9.891,9.993,9.254,0
149,no_act_1(149),-0.973,-0.83,-0.8059999999999999,-0.775,-0.856,8.471,7.3870000000000005,11.997,10.089,9.831,9.325,0
150,no_act_1(150),-0.975,-0.8320000000000001,-0.7829999999999999,-0.775,-0.84,8.332,7.4479999999999995,11.448,10.661,10.339,8.98,0
151,no_act_1(151),-0.975,-0.8370000000000001,-0.782,-0.795,-0.8440000000000001,8.446,7.367999999999999,11.675999999999998,10.554,10.31,9.049,0
152,no_act_1(152),-0.977,-0.8270000000000001,-0.773,-0.7709999999999999,-0.812,8.452,7.461,11.985999999999999,10.308,10.14,9.165,0
153,no_act_1(153),-0.978,-0.818,-0.77,-0.773,-0.8059999999999999,8.368,7.435,11.287,10.889000000000001,10.292,8.936,0
154,no_act_1(154),-0.983,-0.835,-0.764,-0.792,-0.8320000000000001,8.727,7.501,11.184000000000001,10.859000000000002,10.45,8.904,0
155,no_act_1(155),-0.978,-0.841,-0.767,-0.794,-0.847,8.711,7.294,11.247,10.745999999999999,10.51,8.766,0
156,no_act_1(156),-0.9640000000000001,-0.835,-0.78,-0.772,-0.81,8.242,7.337999999999999,11.556,10.495,10.51,8.785,0
157,no_act_1(157),-0.973,-0.826,-0.7909999999999999,-0.754,-0.7909999999999999,8.243,7.507999999999999,12.532,9.602,10.569,8.822000000000001,0
158,no_act_1(158),-0.977,-0.8270000000000001,-0.787,-0.7659999999999999,-0.8109999999999999,8.277999999999999,7.565,12.305,9.856,10.423,8.966000000000001,0
159,no_act_1(159),-0.981,-0.826,-0.7659999999999999,-0.77,-0.8340000000000001,8.505,7.294,11.869000000000002,10.34,9.874,9.402000000000001,0
160,no_act_1(160),-0.981,-0.826,-0.774,-0.757,-0.805,8.493,7.416,11.908,10.373,9.831,9.386000000000001,0
