title,A_1,A_2,A_3,A_4,A_5,BA_1,BA_2,CB_1,CB_2,AC_1,AC_2,Y
a6_1(83),-0.988,-0.833,-0.944,-0.8009999999999999,-0.8759999999999999,12.569,10.449000000000002,11.416,10.321,3.245,2.577,1
a1e5_2(44),-0.998,-0.976,-0.962,-0.888,-0.8320000000000001,7.9860000000000015,7.018,8.464,7.112,9.042,8.743,1
d6e5_2(85),-0.998,-0.983,-0.953,-0.924,-0.816,8.789,7.296,11.078,9.07,9.699,9.267,1
b1e4_1(7),-0.997,-0.981,-0.894,-0.853,-0.8959999999999999,8.043,7.329,11.847,9.591,10.581,9.452,1
c6e4_2(101),-0.998,-0.983,-0.914,-0.8220000000000001,-0.923,8.574,7.581,11.863,8.617,10.736,8.763,1
d1e2_1(108),-0.994,-0.954,-0.867,-0.868,-0.7909999999999999,8.126,7.841,11.565,9.833,11.117,9.181,1
a4_1(142),-0.985,-0.835,-0.943,-0.779,-0.8909999999999999,12.413,10.467,11.319,10.023,3.324,2.729,1
d6e5_2(101),-0.998,-0.983,-0.926,-0.94,-0.815,8.799,7.644,10.938,9.82,9.888,9.355,1
c4_1(170),-0.99,-0.941,-0.848,-0.89,-0.787,12.612,9.926,10.711,9.31,7.186,5.466,1
a6e2_2(128),-0.998,-0.972,-0.887,-0.863,-0.8859999999999999,8.62,7.655,10.862,9.526,10.282,9.683,1
a6_1(144),-0.989,-0.83,-0.938,-0.799,-0.787,11.606,11.232,11.015,10.713,3.0980000000000003,2.56,1
a5e1_1(63),-0.991,-0.87,-0.944,-0.868,-0.8640000000000001,7.802,7.02,11.629,10.492,10.562,9.397,1
a3_1(133),-0.986,-0.83,-0.967,-0.868,-0.7959999999999999,12.116,10.658,10.955,10.417,3.486,2.968,1
b2_1(6),-0.985,-0.918,-0.8590000000000001,-0.826,-0.862,11.703,10.613,10.106,9.221,6.146,5.596,1
c4_1(20),-0.986,-0.84,-0.971,-0.899,-0.7859999999999999,11.87,10.493,11.217,10.476,2.526,2.211,1
c3_1(104),-0.984,-0.8490000000000001,-0.931,-0.835,-0.8270000000000001,11.924,10.185,10.98,9.1,4.559,4.019,1
b1e2_2(174),-0.993,-0.912,-0.893,-0.856,-0.895,8.986,7.527,11.108,10.17,10.414,9.628,1
c2_1(71),-0.985,-0.8320000000000001,-0.967,-0.779,-0.8759999999999999,12.128,10.717,11.255,10.355,3.238,2.501,1
b6e3_2(156),-0.999,-0.983,-0.924,-0.8490000000000001,-0.877,8.422,7.353,10.583,9.624,10.192,9.214,1
b4_1(145),-0.984,-0.836,-0.961,-0.908,-0.779,11.454,11.032,10.828,10.34,3.109,2.687,1
d1_1(102),-0.961,-0.823,-0.7879999999999999,-0.93,-0.753,12.463,10.388,11.594,10.249,3.134,2.531,1
c3_1(19),-0.988,-0.836,-0.975,-0.878,-0.782,11.133,11.031,10.41,9.259,5.812,4.863,1
a4_1(76),-0.987,-0.836,-0.97,-0.789,-0.872,11.93,10.748,10.856,10.445,3.048,2.62,1
c5_1(68),-0.982,-0.8290000000000001,-0.969,-0.797,-0.8690000000000001,11.915,10.898,11.214,10.212,3.636,2.9360000000000004,1
b1e4_1(167),-0.996,-0.981,-0.902,-0.8340000000000001,-0.908,8.435,7.181,10.765999999999998,10.382,10.655,9.395,1
a6_1(107),-0.987,-0.828,-0.931,-0.7959999999999999,-0.8859999999999999,12.853,9.86,12.019,9.607,3.207,2.527,1
a3d6_1(66),-0.996,-0.979,-0.8690000000000001,-0.866,-0.868,9.095,7.752000000000002,11.081,9.407,9.96,9.733,1
c6_1(167),-0.986,-0.825,-0.96,-0.777,-0.912,12.724,10.103,11.799,9.886,3.4410000000000003,2.827,1
d6e5_1(134),-0.998,-0.983,-0.932,-0.924,-0.835,8.606,6.854,11.863,9.314,9.913,9.421,1
d6e5_1(68),-0.998,-0.983,-0.938,-0.901,-0.8340000000000001,8.261000000000001,7.329,11.089,9.785,9.77,9.552,1
b4_1(68),-0.985,-0.826,-0.954,-0.855,-0.7979999999999999,11.707,11.014,10.996,10.614,3.065,2.849,1
d5_1(21),-0.985,-0.861,-0.913,-0.8909999999999999,-0.7879999999999999,11.356,9.888,10.796,9.167,6.21,4.9860000000000015,1
a2e6_1(134),-0.997,-0.98,-0.8959999999999999,-0.885,-0.873,9.234,8.176,11.044,9.713,9.809,9.634,1
c1e3_1(121),-0.991,-0.882,-0.966,-0.85,-0.917,8.22,7.752000000000002,11.43,10.028,11.083,9.327,1
e4_1(5),-0.972,-0.83,-0.945,-0.7929999999999999,-0.804,12.313,10.314,10.141,9.724,5.318,4.485,1
b1_1(31),-0.986,-0.921,-0.856,-0.877,-0.7809999999999999,12.276,9.945,11.158,9.679,3.613,3.16,1
b6e3_2(11),-0.998,-0.979,-0.906,-0.8490000000000001,-0.902,8.199,7.8210000000000015,11.153,9.507,10.734000000000002,8.744,1
b1e2_2(135),-0.993,-0.958,-0.8759999999999999,-0.8490000000000001,-0.836,8.583,7.733,11.328,9.805,10.656,9.576,1
c4_1(144),-0.985,-0.978,-0.8390000000000001,-0.902,-0.795,11.453,10.800999999999998,10.595999999999998,9.446,6.73,6.3,1
e2_1(85),-0.988,-0.8270000000000001,-0.769,-0.857,-0.831,11.563,11.122,10.752,10.452,3.4610000000000003,2.978,1
a4d1_2(163),-0.995,-0.981,-0.8740000000000001,-0.8420000000000001,-0.938,8.762,7.37,11.031,10.096,10.407,9.497,1
b6e3_2(111),-0.999,-0.976,-0.924,-0.8290000000000001,-0.9,8.547,7.392,10.647,10.067,10.421,9.229,1
d1_1(10),-0.973,-0.83,-0.8029999999999999,-0.865,-0.757,12.043,10.732,11.317,10.101,3.088,2.637,1
b2_1(14),-0.987,-0.969,-0.836,-0.88,-0.81,12.358,9.885,10.388,9.564,6.589,5.193,1
a2b1_1(81),-0.998,-0.983,-0.959,-0.85,-0.855,7.747000000000001,7.072,10.713,9.044,9.799,8.736,1
a3d6_1(73),-0.996,-0.982,-0.856,-0.88,-0.899,8.379,8.226,11.415,9.726,10.727,8.925,1
b1_1(51),-0.984,-0.84,-0.954,-0.7829999999999999,-0.8590000000000001,12.289,10.077,11.847,9.983,2.938,2.53,1
a5e1_2(153),-0.997,-0.982,-0.947,-0.8420000000000001,-0.8859999999999999,8.404,7.905,10.630999999999998,9.279,10.300999999999998,9.115,1
a3d6_2(92),-0.995,-0.98,-0.855,-0.875,-0.8240000000000001,7.896,6.76,11.987,9.603,10.3,9.498,1
d4_1(47),-0.981,-0.923,-0.8490000000000001,-0.92,-0.79,12.63,9.314,10.717,8.37,8.245,5.937,1
